基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
华宝香港中小C,006127,0.32亿元（2020-09-30）,14.91%,17.68%,9.96%,19.51%,--,22.75%,周晶,2年又165天,22.75%,7年又208天
华宝香港中小(QDII-LOF)A,501021,12.63亿元（2020-09-30）,14.96%,17.83%,10.20%,19.93%,22.24%,82.34%,周晶,4年又201天,82.34%,7年又208天
大成恒生综合中小型股指数C,008972,0.00亿元（2020-09-30）,8.08%,12.73%,4.92%,--,--,15.10%,冉凌浩,313天,15.10%,9年又140天
大成恒生综合中小型股指数A,160922,0.11亿元（2020-09-30）,8.06%,12.82%,5.01%,10.97%,-4.79%,15.30%,冉凌浩,4年又40天,15.30%,9年又140天
易方达香港小型股指数A,161124,0.19亿元（2020-09-30）,10.29%,15.28%,4.16%,16.16%,15.87%,32.05%,刘树荣,298天,39.32%,3年又177天
汇添富恒生指数C,010789,--亿元（--）,3.83%,--,--,--,--,1.82%,赖中立,40天,1.82%,8年又72天
易方达香港小型股指数C,006263,0.03亿元（2020-09-30）,10.27%,15.19%,4.03%,16.11%,--,15.94%,刘树荣,298天,39.07%,3年又177天
华夏恒生ETF联接C,006381,4.45亿元（2020-09-30）,4.63%,12.14%,-1.37%,-5.38%,--,-0.61%,徐猛,2年又114天,-0.61%,7年又279天
大成恒生指数,160924,1.04亿元（2020-09-30）,4.47%,11.22%,-2.29%,-5.40%,-8.32%,-1.90%,冉凌浩,3年又154天,-1.90%,9年又140天
易方达恒生国企ETF联接C,005675,3.27亿元（2020-09-30）,3.88%,9.36%,-6.35%,-6.21%,--,2.14%,成曦/余海燕,298天,15.51%,4年又249天/9年又57天
华夏恒生ETF联接A,000071,18.07亿元（2020-09-30）,4.66%,12.24%,-1.22%,-5.10%,-5.79%,48.02%,徐猛,3年又62天,-2.70%,7年又279天
银华恒生中国企业指数,161831,10.23亿元（2020-09-30）,4.52%,9.34%,-4.47%,-3.81%,-3.89%,12.41%,李宜璇/乐育涛,2年又310天,-0.64%,3年又17天/9年又247天
汇添富恒生指数A,164705,3.36亿元（2020-09-30）,3.84%,7.42%,-4.80%,-8.84%,-9.29%,25.27%,赖中立,6年又312天,25.27%,8年又72天
易方达恒生国企ETF联接现汇A,110032,13.41亿元（2020-09-30）,4.91%,15.16%,1.74%,0.89%,-3.51%,14.87%,成曦/余海燕,298天,25.52%,4年又249天/9年又57天
华夏沪港通恒生ETF联接C,005734,2.86亿元（2020-09-30）,5.60%,14.17%,0.15%,-2.89%,--,-0.89%,徐猛,2年又309天,-0.89%,7年又279天
易方达恒生国企ETF联接A,110031,13.41亿元（2020-09-30）,3.91%,9.44%,-6.23%,-5.99%,-3.68%,17.45%,成曦/余海燕,298天,15.52%,4年又249天/9年又57天
华夏沪港通恒生ETF联接A,000948,5.33亿元（2020-09-30）,5.62%,14.26%,0.30%,-2.60%,-1.82%,27.29%,徐猛,3年又62天,1.43%,7年又279天
易方达恒生国企ETF联接现钞A,110033,13.41亿元（2020-09-30）,4.91%,15.16%,1.74%,0.89%,-3.51%,14.87%,成曦/余海燕,298天,25.52%,4年又249天/9年又57天
华夏恒生ETF联接现汇,000075,18.07亿元（2020-09-30）,5.68%,18.12%,7.22%,1.87%,-5.57%,44.81%,徐猛,3年又62天,-0.31%,7年又279天
嘉实恒生中国企业,160717,1.89亿元（2020-09-30）,4.19%,9.28%,-5.28%,-6.09%,-5.62%,-18.26%,高峰/何如,1年又284天,-3.85%,1年又284天/6年又248天
大成标普500等权重指数,096001,2.16亿元（2020-09-30）,2.58%,13.99%,17.29%,2.71%,22.93%,135.42%,冉凌浩,9年又139天,170.29%,9年又140天
易方达标普消费品指数C,005676,0.10亿元（2020-09-30）,2.35%,15.88%,23.11%,22.40%,--,46.16%,张胜记,296天,74.69%,10年又290天
华安德国30(DAX)联接,000614,8.36亿元（2020-09-30）,5.38%,7.87%,9.42%,13.40%,6.69%,37.10%,倪斌,2年又105天,15.70%,2年又123天
广发纳斯达克100指数C,006479,3.49亿元（2020-09-30）,1.42%,7.11%,12.37%,31.72%,--,65.67%,刘杰,1年又274天,57.15%,6年又286天
