基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
万家可转债债券A,008331,0.72亿元（2020-09-30）,-1.32%,0.88%,1.49%,--,--,1.98%,陈佳昀,263天,1.98%,3年又220天
金信民达纯债A,008571,0.05亿元（2020-09-30）,1.05%,2.24%,1.65%,--,--,1.88%,杨杰/周余,213天,1.88%,2年又309天/4年又26天
金信民达纯债C,008572,0.05亿元（2020-09-30）,1.03%,2.18%,1.54%,--,--,1.76%,杨杰/周余,213天,1.76%,2年又309天/4年又26天
万家添利债券(LOF),161908,0.40亿元（2020-09-30）,-0.70%,1.02%,0.60%,4.54%,25.01%,92.84%,陈佳昀,3年又120天,24.24%,3年又220天
万家可转债债券C,008332,0.03亿元（2020-09-30）,-1.35%,0.76%,1.27%,--,--,1.68%,陈佳昀,263天,1.68%,3年又220天
国富恒久信用债券A,450018,0.06亿元（2020-09-30）,1.36%,2.11%,1.55%,3.28%,14.59%,50.36%,刘怡敏,5年又20天,22.04%,12年又81天
万家稳健增利债券C,519187,0.13亿元（2020-09-30）,0.56%,1.08%,0.80%,2.58%,12.43%,78.63%,陈佳昀,3年又103天,12.52%,3年又220天
万家稳健增利债券A,519186,0.38亿元（2020-09-30）,0.59%,1.18%,1.00%,2.98%,13.75%,86.58%,陈佳昀,3年又103天,13.97%,3年又220天
万家双利债券,519190,0.23亿元（2020-09-30）,0.44%,4.25%,3.64%,6.41%,16.90%,41.24%,陈佳昀,1年又86天,10.91%,3年又220天
鹏华丰和债券(LOF)C,006057,0.95亿元（2020-09-30）,0.55%,3.96%,0.70%,11.05%,--,28.47%,戴钢,2年又218天,28.47%,9年又36天
国富恒久信用债券C,450019,0.01亿元（2020-09-30）,1.34%,2.02%,1.39%,2.98%,13.47%,47.03%,刘怡敏,5年又20天,20.32%,12年又81天
兴全恒益债券C,004953,1.30亿元（2020-09-30）,-0.55%,0.70%,0.91%,11.12%,26.08%,26.89%,张睿/申庆,3年又113天,26.89%,8年又260天/10年又72天
广发聚鑫债券C,000119,20.95亿元（2020-09-30）,2.65%,5.06%,5.82%,17.52%,42.64%,138.39%,张芊,5年又172天,41.47%,8年又29天
富安达增强收益债券C,710302,0.50亿元（2020-09-30）,0.32%,1.88%,-4.77%,16.14%,27.33%,45.14%,李飞,7年又138天,40.03%,10年又147天
汇安信利债券C,008530,0.80亿元（2020-09-30）,1.21%,2.61%,3.04%,--,--,5.48%,仇秉则,311天,5.48%,4年又40天
富安达增强收益债券A,710301,0.50亿元（2020-09-30）,0.37%,1.99%,-4.55%,16.66%,28.89%,50.34%,李飞,7年又138天,44.35%,10年又147天
汇安信利债券A,008529,1.49亿元（2020-09-30）,1.25%,2.73%,3.25%,--,--,5.84%,仇秉则,311天,5.84%,4年又40天
光大阳光添利债券A,860005,36.75亿元（2020-09-30）,2.32%,5.32%,5.11%,8.88%,--,9.18%,张丁,18天,2.43%,1年又46天
华泰保兴尊合债券C,005160,0.94亿元（2020-09-30）,0.19%,0.38%,0.46%,2.01%,20.35%,21.05%,张挺,3年又51天,21.05%,3年又322天
兴业机遇债券C,008222,0.00亿元（2020-09-30）,-1.02%,2.68%,6.80%,12.42%,--,19.91%,丁进,180天,6.52%,5年又228天
兴全恒益债券A,004952,34.69亿元（2020-09-30）,-0.52%,0.81%,1.10%,11.55%,27.63%,28.60%,张睿/申庆,3年又113天,28.60%,8年又260天/10年又72天
大摩多元收益债券C,233013,5.41亿元（2020-09-30）,1.72%,2.74%,0.85%,6.85%,23.99%,100.99%,李轶,8年又137天,100.99%,12年又62天
兴业收益增强债券A,001257,4.75亿元（2020-09-30）,0.07%,1.98%,1.83%,8.01%,21.20%,38.90%,丁进/周鸣,5年又228天,38.90%,5年又228天/10年又340天
鹏扬泓利债券C,006060,16.15亿元（2020-09-30）,0.75%,3.26%,1.24%,4.45%,--,13.53%,李沁/焦翠/杨爱斌,69天,2.32%,1年又135天/2年又301天/3年又223天
新华丰盈回报债券,002866,0.62亿元（2020-09-30）,1.42%,5.99%,0.21%,6.75%,21.21%,34.18%,马英,4年又209天,34.18%,5年又186天
工银增强收益债券B,485005,2.51亿元（2020-09-30）,2.54%,5.10%,5.06%,9.97%,15.07%,130.44%,张略钊/杜海涛,2年又136天,13.35%,3年又86天/15年又128天
兴业机遇债券A,005717,1.10亿元（2020-09-30）,-0.98%,2.81%,3.21%,9.05%,--,25.16%,丁进,180天,2.94%,5年又228天
工银增强收益债券A,485105,4.83亿元（2020-09-30）,2.58%,5.22%,5.26%,10.41%,16.46%,143.21%,张略钊/杜海涛,2年又136天,14.45%,3年又86天/15年又128天
光大阳光添利债券C,860030,0.00亿元（2020-09-30）,2.29%,5.23%,4.95%,--,--,6.65%,张丁,18天,2.41%,1年又46天
招商安庆债券,006650,1.53亿元（2020-09-30）,-1.40%,0.81%,0.39%,5.85%,--,13.09%,姚爽/尹晓红,1年又310天,12.93%,4年又39天/3年又278天
新华双利债券A,002765,0.02亿元（2020-09-30）,0.82%,4.79%,-2.33%,1.91%,13.45%,22.19%,王丹/曹巍浩,33天,0.82%,33天/33天
鹏扬泓利债券A,006059,21.38亿元（2020-09-30）,0.78%,3.38%,1.45%,4.87%,--,14.46%,李沁/焦翠/杨爱斌,69天,2.40%,1年又135天/2年又301天/3年又223天
大摩多元收益债券A,233012,32.21亿元（2020-09-30）,1.81%,2.88%,1.09%,7.28%,25.56%,108.56%,李轶,8年又137天,108.56%,12年又62天
国寿安保尊盛双债债券A,008740,0.69亿元（2020-09-30）,0.60%,1.20%,1.52%,--,--,2.55%,吴闻,298天,2.55%,5年又77天
前海开源鼎裕债券A,003254,22.69亿元（2020-09-30）,0.80%,1.11%,0.52%,1.79%,88.83%,97.31%,曾健飞,1年又155天,2.93%,1年又155天
江信祺福A,002723,3.52亿元（2020-09-30）,1.99%,5.07%,6.68%,11.08%,31.21%,28.88%,静鹏,1年又299天,15.59%,4年又168天
华泰保兴尊合债券A,005159,30.42亿元（2020-09-30）,0.21%,0.44%,0.57%,2.22%,21.05%,21.78%,张挺,3年又51天,21.78%,3年又322天
国富恒瑞债券C,002362,0.20亿元（2020-09-30）,1.95%,5.93%,5.16%,8.13%,20.18%,34.40%,赵晓东,4年又342天,34.40%,11年又132天
鹏华丰和债券(LOF)A,160621,3.45亿元（2020-09-30）,0.57%,4.20%,0.93%,11.51%,29.11%,90.04%,戴钢,8年又68天,90.04%,9年又36天
招商安华债券A,008791,5.30亿元（2020-09-30）,1.30%,3.53%,4.22%,--,--,6.10%,侯杰,291天,6.10%,2年又73天
前海开源鼎裕债券C,003255,21.66亿元（2020-09-30）,1.25%,1.47%,0.78%,1.86%,86.18%,99.58%,曾健飞,1年又155天,2.82%,1年又155天
国寿安保尊盛双债债券C,008741,0.37亿元（2020-09-30）,0.56%,1.09%,1.31%,--,--,2.21%,吴闻,298天,2.21%,5年又77天
汇安稳裕债券,005212,4.46亿元（2020-09-30）,0.97%,2.10%,2.77%,6.64%,--,15.32%,仇秉则,1年又89天,9.79%,4年又40天
江信祺福C,002724,0.01亿元（2020-09-30）,1.94%,4.92%,6.41%,10.52%,29.79%,26.54%,静鹏,1年又299天,14.71%,4年又168天
浙商丰利增强债券,006102,0.86亿元（2020-09-30）,4.08%,13.26%,14.81%,28.39%,--,49.87%,陈亚芳/贾腾/周锦程,73天,9.24%,73天/1年又324天/3年又328天
德邦景颐债券C,003177,0.00亿元（2020-09-30）,1.58%,3.20%,2.28%,6.76%,11.78%,17.22%,杨严,1年又52天,8.12%,1年又52天
招商安华债券C,008792,0.14亿元（2020-09-30）,1.27%,3.45%,4.06%,--,--,5.85%,侯杰,291天,5.85%,2年又73天
国富恒瑞债券A,002361,4.99亿元（2020-09-30）,2.00%,6.07%,5.40%,8.67%,21.61%,37.21%,赵晓东,4年又342天,37.21%,11年又132天
广发聚鑫债券A,000118,112.14亿元（2020-09-30）,2.64%,5.18%,6.01%,17.93%,44.09%,143.30%,张芊,5年又172天,43.88%,8年又29天
嘉合磐通债券A,001957,3.40亿元（2020-09-30）,0.95%,1.30%,1.29%,3.09%,--,17.86%,于启明/李国林,114天,1.38%,7年又332天/1年又361天
兴业收益增强债券C,001258,1.23亿元（2020-09-30）,-0.07%,1.81%,1.58%,7.56%,19.56%,35.10%,丁进/周鸣,5年又228天,35.10%,5年又228天/10年又340天
博时宏观回报债券C,050116,9.85亿元（2020-09-30）,1.29%,2.14%,0.23%,8.09%,33.50%,59.36%,王衍胜/王申,2年又298天,32.01%,3年又280天/5年又235天
银河强化债券,519676,20.88亿元（2020-09-30）,1.43%,3.10%,1.57%,7.67%,19.39%,95.12%,祝建辉/张沛,172天,2.19%,5年又15天/2年又343天
中邮纯债恒利债券C,002277,0.03亿元（2020-09-30）,1.72%,0.76%,1.63%,3.41%,14.89%,17.88%,闫宜乘/武志骁,255天,0.57%,255天/1年又242天
海富通稳健添利债券A,519024,0.04亿元（2020-09-30）,-0.08%,-0.64%,-0.08%,2.38%,9.55%,51.70%,何谦/谈云飞,1年又263天,2.46%,4年又250天/6年又166天
德邦景颐债券A,003176,3.06亿元（2020-09-30）,1.61%,3.28%,2.43%,7.03%,11.87%,17.63%,杨严,1年又52天,8.43%,1年又52天
嘉合磐通债券C,001958,1.09亿元（2020-09-30）,0.92%,1.19%,1.10%,2.68%,--,17.02%,于启明/李国林,114天,1.27%,7年又332天/1年又361天
新华双利债券C,002766,0.01亿元（2020-09-30）,0.79%,4.66%,-2.57%,1.47%,12.09%,19.94%,王丹/曹巍浩,33天,0.79%,33天/33天
博时宏观回报债券A/B,050016,73.93亿元（2020-09-30）,1.35%,2.26%,0.44%,8.46%,35.05%,63.39%,王衍胜/王申,2年又298天,33.32%,3年又280天/5年又235天
民生加银添鑫纯债A,007102,9.88亿元（2020-09-30）,1.06%,1.31%,1.49%,3.93%,--,5.57%,陆欣,1年又150天,5.57%,10年又107天
海富通稳健添利债券C,519023,0.08亿元（2020-09-30）,-0.08%,-0.74%,-0.25%,2.10%,9.08%,52.36%,何谦/谈云飞,1年又263天,1.93%,4年又250天/6年又166天
东方红汇利债券C,002652,4.13亿元（2020-09-30）,1.39%,4.13%,4.49%,6.81%,21.94%,30.29%,徐觅/孔令超/饶刚,3年又133天,24.95%,4年又21天/4年又159天/13年又229天
永赢双利债券A,002521,27.24亿元（2020-09-30）,0.93%,3.82%,2.51%,7.44%,26.49%,266.50%,乔嘉麒/李永兴,206天,7.14%,3年又230天/6年又114天
鹏扬汇利债券C,004586,4.16亿元（2020-09-30）,0.60%,2.89%,1.17%,4.28%,19.09%,20.48%,李沁/焦翠/杨爱斌,69天,2.15%,1年又135天/2年又301天/3年又223天
永赢双利债券C,002522,0.28亿元（2020-09-30）,0.90%,3.72%,2.30%,7.02%,26.09%,28.37%,乔嘉麒/李永兴,206天,6.90%,3年又230天/6年又114天
泰康信用精选债券A,007417,7.40亿元（2020-09-30）,0.65%,1.05%,1.63%,3.69%,--,4.84%,经惠云,1年又129天,4.84%,5年又53天
兴全磐稳增利债券C,007398,0.04亿元（2020-09-30）,-0.88%,-0.41%,-0.76%,1.40%,--,2.41%,张睿,1年又15天,2.41%,8年又260天
上投摩根强化回报债券B,372110,0.39亿元（2020-09-30）,1.03%,2.50%,2.28%,6.69%,13.28%,51.69%,陈圆明,242天,4.01%,1年又274天
