基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
中证兴业中高等级信用债指数,003429,77.33亿元（2020-09-30）,0.70%,0.90%,1.50%,3.89%,17.44%,20.75%,杨逸君,14天,0.30%,5年又64天
建信湖北省地方政府债指数,009528,21.41亿元（2020-09-30）,0.58%,1.24%,1.77%,--,--,1.89%,闫晗,209天,1.89%,3年又69天
银河中债央企20债券指数,007155,9.07亿元（2020-09-30）,1.14%,1.30%,1.07%,2.57%,--,4.70%,何晶,232天,-0.85%,4年又139天
中邮中债1-3年久期央企20C,007209,0.00亿元（2020-09-30）,1.07%,1.11%,1.16%,2.21%,--,4.76%,闫宜乘,130天,1.36%,255天
中邮中债1-3年久期央企20A,007208,7.12亿元（2020-09-30）,1.09%,1.17%,1.26%,2.40%,--,5.08%,闫宜乘,130天,1.42%,255天
长信中证转债及可交换债50指数A,008435,1.00亿元（2020-09-30）,2.61%,2.89%,-1.23%,--,--,4.22%,倪伟/李家春,333天,3.11%,1年又116天/11年又165天
长信中证转债及可交换债50指数C,008436,0.33亿元（2020-09-30）,2.61%,2.87%,-1.28%,--,--,4.12%,倪伟/李家春,333天,3.02%,1年又116天/11年又165天
广发央企80债券指数C,008483,0.00亿元（2020-09-30）,0.84%,1.16%,1.50%,--,--,0.54%,李伟,256天,0.54%,2年又128天
广发央企80债券指数A,008482,11.93亿元（2020-09-30）,0.84%,1.19%,1.53%,--,--,0.59%,李伟,256天,0.59%,2年又128天
汇安中债-广西信用债A,008549,10.21亿元（2020-09-30）,0.57%,0.71%,1.79%,2.93%,--,2.97%,张再奇,1年又15天,2.97%,1年又317天
兴银3-5年信用债A,007452,0.03亿元（2020-09-30）,0.70%,1.09%,1.04%,2.89%,--,3.79%,傅峤钰,355天,2.51%,2年又200天
兴银3-5年信用债C,007453,0.62亿元（2020-09-30）,0.68%,1.05%,0.97%,2.65%,--,3.49%,傅峤钰,355天,2.29%,2年又200天
安信信用主体50债券指数,009259,3.10亿元（2020-09-30）,0.37%,1.17%,1.41%,--,--,1.23%,潘巍,222天,1.23%,2年又121天
华富中债-安徽信用债A,008340,5.40亿元（2020-08-03）,0.72%,0.99%,--,--,--,1.23%,尤之奇/郜哲/张娅,146天,1.21%,146天/2年又322天/11年又197天
华富中债-安徽信用债C,008341,0.00亿元（2020-08-03）,0.71%,0.95%,--,--,--,1.19%,尤之奇/郜哲/张娅,146天,1.17%,146天/2年又322天/11年又197天
融通中债1-3年国开行债券指数A,008787,1.50亿元（2020-09-30）,0.70%,3.91%,4.04%,--,--,3.94%,许富强,233天,3.94%,2年又238天
