基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
国金量化添利,006189,3.98亿元（2020-09-30）,-0.07%,0.48%,0.60%,2.54%,--,9.76%,马芳/宫雪/尹海峰,81天,0.03%,129天/7年又170天/1年又333天
融通增辉定开债券发起式,006163,3.86亿元（2020-09-30）,1.99%,2.07%,1.56%,2.99%,--,13.33%,朱浩然,2年又176天,13.33%,3年又125天
西部利得聚享一年定开债券C,007378,0.05亿元（2020-09-30）,0.84%,0.65%,0.92%,4.04%,--,7.47%,严志勇,1年又198天,7.47%,3年又155天
南方稳利1年定开债A,000086,16.34亿元（2020-09-30）,1.56%,1.46%,1.76%,4.13%,14.47%,42.97%,何康,2年又343天,14.01%,6年又56天
南方畅利定开债发起式,006653,20.16亿元（2020-09-30）,0.32%,7.09%,7.15%,8.86%,--,13.44%,黄斌斌,331天,7.99%,2年又336天
易方达纯债1年定开债C,000112,0.12亿元（2020-09-30）,0.88%,0.58%,0.98%,2.55%,14.28%,43.16%,李一硕,5年又304天,29.13%,6年又184天
西部利得聚享一年定开债券A,007377,2.57亿元（2020-09-30）,0.88%,0.75%,1.11%,4.45%,--,8.12%,严志勇,1年又198天,8.12%,3年又155天
富国祥利一年期定期开放债券型C,000517,0.00亿元（2020-09-30）,1.06%,1.37%,1.74%,3.56%,20.52%,20.49%,黄纪亮,3年又134天,20.49%,7年又320天
南方金利定开债(LOF)C,160129,0.57亿元（2020-09-30）,1.29%,1.29%,1.90%,4.20%,22.96%,68.20%,李璇,5年又27天,27.30%,10年又113天
民生加银平稳添利债券A,166904,10.01亿元（2020-09-30）,0.49%,0.89%,1.49%,4.18%,16.07%,62.63%,陆欣,2年又86天,10.16%,10年又107天
易方达恒久添利1年定开债A,000265,12.92亿元（2020-09-30）,0.99%,0.89%,1.60%,3.66%,18.01%,34.11%,藏海涛,316天,2.05%,316天
富国祥利一年期定期开放债券型A,000516,20.65亿元（2020-09-30）,1.09%,1.48%,1.94%,3.98%,21.98%,22.12%,黄纪亮,3年又134天,22.12%,7年又320天
南方聚利1年定开债A,160131,0.56亿元（2020-09-30）,0.68%,0.87%,1.17%,2.90%,15.27%,47.81%,李慧鹏,1年又319天,6.28%,6年又79天
兴银汇裕定开债,008406,10.06亿元（2020-09-30）,1.07%,1.18%,1.41%,2.94%,--,3.12%,傅峤钰,1年又30天,3.12%,2年又200天
富国聚利三个月定开债,004978,2.25亿元（2020-09-30）,0.96%,0.78%,0.97%,2.66%,15.02%,16.60%,刘瀚驰/朱梦娜,51天,1.36%,51天/1年又324天
博时安丰18个月定开债A,160515,2.70亿元（2020-09-30）,0.86%,1.35%,2.03%,6.33%,19.71%,67.63%,程卓,2年又204天,17.62%,4年又153天
中融聚通定期开放债券,007175,5.14亿元（2020-09-30）,1.30%,1.61%,1.67%,4.20%,--,4.49%,石霄蒙/哈默/王玥,62天,1.03%,62天/5年又112天/6年又195天
汇添富季季红定开债,164702,3.17亿元（2020-09-30）,1.08%,1.07%,1.47%,6.84%,22.88%,70.79%,徐光/陆文磊,2年又143天,19.67%,2年又143天/12年又313天
中加聚盈四个月定开债A,007061,6.32亿元（2020-09-30）,0.31%,-0.12%,0.43%,3.25%,--,9.25%,闫沛贤,1年又227天,9.25%,7年又83天
易方达年年恒夏一年定开债A,007525,18.61亿元（2020-09-30）,0.98%,1.01%,1.53%,3.73%,--,6.17%,李一硕,1年又184天,6.17%,6年又184天
富国目标收益一年期纯债债券,000197,8.75亿元（2020-09-30）,0.74%,1.39%,1.85%,3.83%,15.54%,46.00%,俞晓斌,109天,1.48%,4年又12天
融通增润三个月定开债,007516,30.18亿元（2020-09-30）,1.04%,1.46%,1.71%,3.20%,--,4.04%,许富强,1年又64天,4.04%,2年又238天
汇添富年年利定开债A,000221,3.18亿元（2020-09-30）,0.92%,1.52%,2.42%,6.46%,14.40%,43.68%,徐光,2年又56天,16.04%,2年又143天
浦银安盛盛元定开债A,519322,89.84亿元（2020-09-30）,0.75%,0.85%,1.58%,4.09%,18.27%,24.38%,章潇枫,3年又217天,21.17%,3年又241天
易方达纯债1年定开债A,000111,19.42亿元（2020-09-30）,0.98%,0.68%,1.27%,2.94%,15.40%,46.75%,李一硕,5年又304天,31.62%,6年又184天
兴业嘉瑞6个月定开债A,003952,10.14亿元（2020-09-30）,0.92%,0.81%,1.25%,2.96%,16.94%,19.76%,徐青,2年又248天,14.68%,3年又357天
兴银长乐定开债,001246,50.39亿元（2020-09-30）,0.80%,0.90%,1.50%,3.91%,17.75%,32.25%,王深/范泰奇,151天,1.20%,151天/3年又28天
