基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
泰康睿福3月持有混合(FOF)A,008754,1.01亿元（2020-09-30）,8.58%,17.20%,18.45%,--,--,33.14%,潘漪,272天,33.14%,272天
富国智诚精选混合(FOF),007898,12.11亿元（2020-09-30）,12.17%,17.31%,21.68%,54.88%,--,65.55%,王登元,1年又127天,65.55%,1年又127天
泰康睿福3月持有混合(FOF)C,008755,0.72亿元（2020-09-30）,8.53%,17.01%,18.10%,--,--,32.56%,潘漪,272天,32.56%,272天
海富通聚优精选混合(FOF),005220,2.69亿元（2020-09-30）,11.41%,18.34%,22.08%,53.81%,66.73%,69.28%,朱赟,1年又72天,66.12%,1年又124天
诺德大类精选(FOF),008079,5.44亿元（2020-09-30）,11.58%,18.32%,16.05%,39.80%,--,45.55%,郑源,1年又33天,45.55%,1年又33天
国君君得益三个月(FOF)A,952013,--亿元（--）,9.01%,--,--,--,--,10.55%,李少君/高琛,34天,9.01%,34天/55天
南方全天候策略(FOF)C,005216,5.41亿元（2020-09-30）,4.45%,7.60%,13.39%,22.68%,32.28%,33.29%,李文良/夏莹莹,2年又309天,32.30%,2年又309天/3年又62天
前海开源裕源(FOF),005809,2.77亿元（2020-09-30）,11.58%,12.58%,13.56%,23.86%,--,76.57%,覃璇/杨德龙,207天,20.80%,248天/7年又73天
建信福泽裕泰混合(FOF)C,005926,0.12亿元（2020-09-30）,5.39%,9.98%,11.99%,25.85%,--,33.80%,姜华/王锐/梁珉,1年又158天,37.78%,2年又1天/3年又70天/3年又70天
建信福泽裕泰混合(FOF)A,005925,0.16亿元（2020-09-30）,5.43%,10.10%,12.23%,26.36%,--,36.30%,姜华/王锐/梁珉,1年又158天,38.70%,2年又1天/3年又70天/3年又70天
长信稳进资产配置(FOF),005976,8.57亿元（2020-09-30）,3.32%,6.27%,10.52%,19.48%,--,31.70%,杨帆,137天,5.48%,3年又267天
民生加银康宁平衡养老目标三年持有混合(FOF),009884,4.76亿元（2020-09-09）,5.77%,7.98%,--,--,--,7.96%,于善辉,123天,7.96%,1年又260天
南方全天候策略(FOF)A,005215,8.34亿元（2020-09-30）,4.51%,7.78%,13.73%,23.42%,34.70%,35.90%,李文良/夏莹莹,2年又309天,34.57%,2年又309天/3年又62天
民生加银康宁养老(FOF),006991,64.42亿元（2020-09-30）,4.02%,6.65%,7.97%,15.47%,--,24.25%,于善辉,1年又260天,24.25%,1年又260天
国寿策略优选3个月持有混合(FOF),009151,4.99亿元（2020-08-06）,3.44%,6.11%,--,--,--,7.07%,张志雄,157天,7.07%,207天
安信禧悦稳健养老一年持有混合(FOF),009460,4.24亿元（2020-09-30）,3.68%,5.76%,6.23%,--,--,6.52%,占冠良,215天,6.52%,5年又127天
易方达如意安泰(FOF)A,009213,3.80亿元（2020-08-14）,2.00%,2.87%,--,--,--,2.79%,张浩然,149天,2.79%,276天
民生卓越配置6个月混合(FOF),008886,67.29亿元（2020-09-30）,4.04%,6.39%,8.88%,--,--,15.47%,于善辉,325天,15.47%,1年又260天
建信福泽安泰混合(FOF),005217,2.06亿元（2020-09-30）,5.03%,8.23%,9.79%,18.49%,27.63%,28.94%,姜华/王锐/梁珉,2年又1天,31.06%,2年又1天/3年又70天/3年又70天
前海开源裕泽(FOF),006507,0.55亿元（2020-09-30）,6.83%,7.32%,10.53%,12.60%,--,23.96%,覃璇/杨德龙,207天,13.93%,248天/7年又73天
新华精选成长3个月混合(FOF),009146,0.53亿元（2020-09-30）,10.04%,15.35%,19.09%,--,--,32.27%,李强/王奕蕾,259天,32.27%,259天/259天
易方达如意安泰(FOF)C,009214,0.08亿元（2020-08-14）,1.99%,2.79%,--,--,--,2.67%,张浩然,149天,2.67%,276天
人保稳进配置三个月持有(FOF),009383,2.39亿元（2020-09-17）,2.52%,3.98%,--,--,--,4.01%,余东发/武丹,115天,4.01%,115天/115天
国寿稳健养老一年混合(FOF),008617,2.69亿元（2020-09-30）,2.56%,3.57%,3.29%,--,--,3.34%,张志雄,207天,3.34%,207天
国联安安享稳健养老(FOF),006918,0.18亿元（2020-09-30）,1.48%,4.06%,5.02%,9.71%,--,14.96%,代望涛,1年又260天,14.96%,1年又260天
嘉实领航资产配置混合A,005156,1.92亿元（2020-09-30）,4.34%,10.83%,14.57%,22.23%,30.81%,31.65%,张静,1年又214天,32.73%,3年又76天
中融量化精选(FOF)A,005758,0.07亿元（2020-09-30）,2.41%,4.96%,3.95%,6.13%,--,14.18%,哈图,2年又252天,14.18%,2年又252天
嘉实领航资产配置混合C,005157,0.36亿元（2020-09-30）,4.26%,10.58%,14.11%,21.25%,27.55%,28.11%,张静,1年又214天,31.06%,3年又76天
华夏聚惠(FOF)A,005218,3.23亿元（2020-09-30）,6.53%,10.93%,12.47%,22.70%,35.37%,36.63%,李晓易/郑铮,1年又352天,37.77%,1年又352天/3年又69天
