基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
广发沪港深龙头混合,005644,15.03亿元（2020-09-30）,16.69%,18.33%,13.97%,34.21%,--,30.80%,余昊,2年又296天,30.80%,4年又218天
西部利得港股通新机遇混合C,010093,0.00亿元（2020-09-30）,13.75%,21.83%,--,--,--,17.38%,陶星言,130天,17.38%,178天
西部利得港股通新机遇混合A,008861,0.54亿元（2020-09-30）,13.76%,21.87%,--,--,--,19.44%,陶星言,178天,19.44%,178天
华宝港股通香港精选混合,005883,0.39亿元（2020-09-30）,16.03%,19.46%,15.95%,16.18%,--,28.60%,周欣,143天,15.21%,11年又13天
易方达港股通红利混合,005583,9.10亿元（2020-09-30）,16.45%,22.47%,20.08%,45.81%,--,31.48%,杨添琦,78天,25.02%,86天
广发港股通优质增长混合,006595,1.68亿元（2020-09-30）,14.65%,18.83%,13.79%,45.04%,--,70.04%,余昊,153天,14.38%,4年又218天
天弘港股通精选C,006753,0.49亿元（2020-09-30）,12.54%,16.39%,20.72%,37.39%,--,51.61%,刘国江,1年又257天,51.61%,1年又257天
中海沪港深价值优选混合,002214,0.41亿元（2020-09-30）,12.37%,17.65%,11.63%,28.24%,23.04%,100.67%,陈玮/姚晨曦,1年又176天,37.97%,1年又176天/5年又270天
国投瑞银精选收益混合,001218,18.28亿元（2020-09-30）,4.59%,3.15%,11.24%,72.10%,72.80%,27.70%,孙文龙,1年又14天,73.74%,5年又354天
中融沪港深大消费主题A,005142,0.38亿元（2020-09-30）,7.14%,9.76%,-0.31%,25.74%,9.23%,9.46%,陈荔/冯琪,131天,1.56%,137天/1年又43天
海富通沪港深灵活配置混合,519139,2.08亿元（2020-09-30）,8.90%,13.99%,19.89%,39.71%,43.36%,90.75%,周雪军/高峥/王智慧,2年又28天,78.67%,8年又85天/3年又136天/8年又201天
国投瑞银港股通混合A,007110,21.67亿元（2020-09-30）,5.55%,6.43%,3.49%,--,--,18.48%,刘扬/汤海波,304天,18.48%,304天/8年又308天
广发价值领先混合,008099,4.74亿元（2020-09-30）,8.25%,22.41%,18.96%,--,--,26.82%,林英睿,248天,26.82%,5年又46天
兴全沪港深两年持有混合,009007,29.09亿元（2020-09-30）,9.01%,13.29%,10.24%,--,--,14.25%,林翠萍,233天,14.25%,3年又253天
中欧互联网先锋混合A,010213,85.62亿元（2020-10-12）,17.21%,--,--,--,--,19.51%,王颖/周应波,6天,4.52%,6天/5年又70天
