基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
广发中证传媒ETF联接A,004752,6.88亿元（2020-09-30）,-4.72%,-8.86%,-13.74%,-4.60%,-13.83%,-13.84%,罗国庆,3年又9天,-13.84%,5年又91天
广发中证传媒ETF联接C,004753,4.12亿元（2020-09-30）,-4.74%,-8.92%,-13.83%,-4.79%,-13.72%,-13.74%,罗国庆,3年又9天,-13.74%,5年又91天
华富中证人工智能产业ETF联接A,008020,0.23亿元（2020-09-30）,1.10%,1.77%,-10.99%,--,--,-0.74%,郜哲/张娅,262天,-0.74%,2年又322天/11年又197天
华夏中证人工智能主题ETF联接A,008585,7.36亿元（2020-09-30）,-0.90%,2.36%,-8.99%,--,--,-8.75%,李俊,208天,-8.75%,3年又31天
汇添富中证上海国企ETF联接,003194,4.02亿元（2020-09-30）,-0.75%,6.36%,-3.14%,0.89%,-5.38%,-4.91%,董瑾,1年又11天,1.14%,1年又38天
华富中证人工智能产业ETF联接C,008021,0.18亿元（2020-09-30）,1.08%,1.70%,-11.11%,--,--,-0.95%,郜哲/张娅,262天,-0.95%,2年又322天/11年又197天
银华中证5G通信主题ETF联接A,008889,12.75亿元（2020-09-30）,0.28%,2.96%,-7.21%,--,--,-5.28%,王帅/马君,227天,-5.28%,1年又197天/8年又130天
南方中证500信息技术联接A,002900,4.53亿元（2020-09-30）,-6.57%,-6.95%,-18.49%,2.65%,24.55%,16.69%,孙伟,4年又147天,16.69%,5年又235天
华夏中证5G通信主题ETF联接A,008086,42.12亿元（2020-09-30）,0.52%,2.80%,-11.44%,19.56%,--,22.94%,李俊,1年又32天,22.94%,3年又31天
银华中证5G通信主题ETF联接C,010524,--亿元（--）,--,--,--,--,--,3.03%,王帅/马君,6天,3.03%,1年又197天/8年又130天
南方H股联接C,005555,0.91亿元（2020-09-30）,4.33%,10.95%,-5.23%,-4.98%,--,-3.91%,孙伟,289天,7.88%,5年又235天
