基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
广发沪港深新起点股票A,002121,52.00亿元（2020-09-30）,14.15%,17.27%,16.22%,40.96%,45.13%,121.18%,李耀柱,4年又32天,125.47%,5年又26天
广发沪港深新机遇股票,001764,3.47亿元（2020-09-30）,14.51%,15.54%,16.68%,65.49%,46.83%,99.22%,余昊,2年又115天,88.98%,4年又218天
汇丰晋信沪港深C,002333,0.12亿元（2020-09-30）,17.74%,30.40%,28.06%,53.11%,56.93%,106.85%,程彧,2年又133天,92.48%,4年又62天
广发沪港深新起点股票C,010024,0.00亿元（2020-09-30）,14.11%,17.14%,--,--,--,17.96%,李耀柱,110天,17.96%,5年又26天
汇丰晋信沪港深A,002332,12.54亿元（2020-09-30）,17.79%,30.57%,28.39%,53.88%,59.44%,111.98%,程彧,2年又133天,94.89%,4年又62天
工银沪港深股票C,007512,0.01亿元（2020-09-30）,10.81%,17.30%,14.46%,31.00%,--,36.33%,赵宪成/张继圣,27天,11.53%,2年又17天/2年又23天
前海开源港股通股息率50强,004098,0.49亿元（2020-09-30）,10.10%,17.56%,10.85%,5.29%,-5.59%,2.77%,董治国/王霞,171天,13.38%,171天/6年又209天
工银沪港深股票A,002387,12.55亿元（2020-09-30）,10.86%,17.50%,14.81%,31.80%,22.32%,58.64%,赵宪成/张继圣,27天,11.57%,2年又17天/2年又23天
汇丰晋信港股通精选股票,006781,1.56亿元（2020-09-30）,5.63%,14.06%,4.01%,13.59%,--,20.29%,许廷全,1天,--,1年又147天
华夏港股通精选股票LOF,160322,0.92亿元（2020-09-30）,17.15%,22.85%,26.76%,53.38%,31.76%,80.35%,黄芳/李湘杰,2年又359天,32.72%,2年又359天/6年又243天
创金合信港股通大消费精选股票A,009733,0.06亿元（2020-08-27）,8.68%,9.50%,--,--,--,5.34%,胡尧盛,136天,5.34%,3年又30天
创金合信港股通大消费精选股票C,009734,0.05亿元（2020-08-27）,8.61%,9.29%,--,--,--,5.07%,胡尧盛,136天,5.07%,3年又30天
嘉实物流产业股票A,003298,1.12亿元（2020-09-30）,1.17%,11.30%,22.80%,38.42%,65.71%,106.80%,肖觅,4年又13天,106.80%,4年又13天
国投瑞银港股通6个月定开股票,010010,10.10亿元（2020-08-27）,4.84%,5.50%,--,--,--,1.63%,刘扬,136天,1.63%,304天
鹏华文化传媒娱乐股票,001223,1.69亿元（2020-09-30）,4.81%,3.85%,2.99%,22.56%,35.81%,48.30%,贺宁,1年又234天,49.65%,1年又234天
上投摩根核心精选,005983,0.36亿元（2020-09-30）,-2.33%,6.47%,15.89%,42.34%,--,98.08%,李博,2年又43天,98.08%,6年又12天
