基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
鹏华中证传媒指数(LOF),160629,7.39亿元（2020-09-30）,-4.59%,-8.22%,-12.80%,-0.72%,-8.93%,-23.69%,罗捷,1年又52天,16.10%,2年又345天
工银中证传媒指数(LOF)A,164818,1.25亿元（2020-09-30）,-4.96%,-8.54%,-13.73%,-5.80%,-13.91%,-71.42%,刘伟琳,3年又177天,-19.71%,6年又87天
工银中证传媒指数(LOF)C,010677,--亿元（--）,-4.97%,--,--,--,--,-1.84%,刘伟琳,45天,-1.84%,6年又87天
广发中证全指汽车指数C,004855,1.47亿元（2020-09-30）,4.71%,39.70%,59.46%,79.38%,35.42%,39.70%,罗国庆,3年又164天,39.70%,5年又91天
广发中证全指汽车指数A,004854,2.73亿元（2020-09-30）,4.73%,39.77%,59.62%,79.73%,35.75%,39.99%,罗国庆,3年又164天,39.99%,5年又91天
融通人工智能指数(LOF)C,009239,0.42亿元（2020-09-30）,-0.39%,2.39%,-9.21%,--,--,22.87%,何天翔,284天,22.87%,6年又79天
融通中证云计算与大数据主题指数(LOF),161628,0.70亿元（2020-09-30）,-2.26%,6.75%,16.90%,42.70%,33.53%,-7.96%,何天翔,5年又195天,-7.96%,6年又79天
富国中证体育产业指数,161030,1.71亿元（2020-09-30）,-9.03%,-13.98%,-20.63%,-4.74%,12.37%,-35.45%,张圣贤,1年又1天,-5.48%,5年又221天
富国中证娱乐主题指数增强型,161036,0.92亿元（2020-09-30）,0.05%,-2.49%,-7.09%,10.02%,-3.63%,-17.02%,牛志冬,1年又1天,8.80%,5年又244天
嘉实港股通新经济指数A,501311,0.78亿元（2020-09-30）,10.92%,18.28%,16.00%,44.50%,--,50.58%,刘珈吟/陈正宪,1年又362天,50.58%,4年又293天/5年又7天
南方中证互联网指数(LOF),160137,1.69亿元（2020-09-30）,2.73%,2.68%,-7.08%,21.00%,27.89%,13.00%,龚涛,1年又183天,48.83%,1年又183天
融通人工智能指数(LOF)A,161631,8.47亿元（2020-09-30）,-0.36%,2.51%,-9.03%,25.75%,43.30%,50.54%,何天翔,3年又276天,50.54%,6年又79天
泰康港股通大消费指数C,006787,0.15亿元（2020-09-30）,14.85%,22.10%,27.16%,52.81%,--,59.55%,刘伟/黄成扬,1年又277天,59.55%,3年又252天/5年又45天
国泰国证房地产行业指数,160218,11.50亿元（2020-09-30）,-5.89%,-7.68%,-14.53%,-6.28%,-21.80%,59.39%,徐成城,2年又126天,12.31%,3年又342天
合煦智远金融科技指数(LOF)C,168702,0.14亿元（2020-09-30）,-3.05%,-1.40%,-11.81%,--,--,7.40%,潘天奇,282天,7.40%,282天
泰康港股通TMT指数A,006930,0.19亿元（2020-09-30）,2.37%,4.58%,-9.11%,4.53%,--,1.74%,刘伟/黄成扬,1年又283天,1.74%,3年又252天/5年又45天
中邮中证价值回报量化策略C,006256,0.04亿元（2020-09-30）,-1.44%,-0.21%,0.40%,11.31%,--,27.40%,姚婷,2年又43天,27.40%,2年又43天
东海社会安全,001899,0.30亿元（2020-09-30）,3.37%,1.19%,-6.93%,10.69%,-5.32%,-23.40%,胡德军,3年又229天,-0.65%,5年又77天
富国中证智能汽车(LOF),161033,3.26亿元（2020-09-30）,5.43%,11.34%,3.08%,40.98%,69.74%,80.60%,张圣贤,4年又330天,80.60%,5年又221天
广发恒生中型股指数C,004996,0.15亿元（2020-09-30）,10.84%,15.76%,8.33%,16.49%,3.36%,8.17%,刘杰,2年又87天,32.81%,6年又286天
汇添富中证环境治理指数C,501031,0.75亿元（2020-09-30）,-7.39%,-8.87%,-9.93%,-4.59%,-42.97%,-46.15%,赖中立,4年又13天,-46.15%,8年又72天
泰康港股通大消费指数A,006786,0.29亿元（2020-09-30）,14.89%,22.23%,27.41%,53.41%,--,60.67%,刘伟/黄成扬,1年又277天,60.67%,3年又252天/5年又45天
信诚中证TMT产业主题指数(LOF),165522,1.23亿元（2020-09-30）,-0.14%,2.11%,-7.40%,18.05%,26.34%,35.95%,HAN YILING/黄稚,209天,11.66%,2年又276天/2年又170天
鹏华中证800地产指数(LOF),160628,4.31亿元（2020-09-30）,-6.16%,-6.88%,-12.39%,-2.35%,-10.24%,74.20%,闫冬,1年又256天,3.51%,1年又298天
华宝香港大盘C,006355,0.61亿元（2020-09-30）,5.57%,13.18%,-3.67%,-4.97%,--,-1.29%,周晶,143天,3.09%,7年又208天
中邮中证价值回报量化策略A,006255,0.50亿元（2020-09-30）,-1.40%,-0.10%,0.60%,11.75%,--,28.50%,姚婷,2年又43天,28.50%,2年又43天
华宝香港大盘A,501301,1.97亿元（2020-09-30）,5.60%,13.31%,-3.48%,-4.59%,-3.63%,16.89%,周晶,143天,3.24%,7年又208天
交银中证环境治理(LOF),164908,1.38亿元（2020-09-30）,-7.49%,-9.06%,-11.23%,-7.13%,-47.67%,-51.80%,蔡铮,5年又152天,-51.80%,8年又16天
易方达中证万得生物科技指数(LOF)C,010572,--亿元（--）,11.29%,--,--,--,--,11.44%,张湛,38天,11.44%,300天
安信深圳科技指数(LOF)C,167507,1.02亿元（2020-09-30）,3.70%,7.74%,2.86%,43.64%,--,48.67%,施荣盛/徐黄玮,363天,35.06%,363天/3年又71天
民生加银中证港股通指数A,004532,0.04亿元（2020-09-30）,3.72%,8.11%,5.28%,0.64%,-2.49%,0.87%,武杰/蔡晓,2年又71天,13.71%,2年又71天/5年又8天
汇添富中证港股通(LOF)A,501305,0.62亿元（2020-09-30）,2.86%,3.86%,-7.16%,-13.66%,-16.84%,-15.46%,赖中立,3年又48天,-15.46%,8年又72天
泰康港股通地产指数A,006816,0.14亿元（2020-09-30）,0.98%,-2.99%,-12.98%,-15.23%,--,-8.11%,刘伟/黄成扬,1年又347天,-8.11%,3年又252天/5年又45天
广发恒生中型股指数A,501303,0.37亿元（2020-09-30）,10.90%,15.95%,8.65%,17.19%,4.91%,9.50%,刘杰,2年又87天,34.27%,6年又286天
财通中证香港红利等权指数C,006659,0.13亿元（2020-09-30）,3.77%,5.43%,-6.95%,-13.75%,--,-9.52%,吴迪,1年又169天,-8.99%,4年又265天
大成360互联网+大数据100C,003359,0.18亿元（2020-09-30）,-12.47%,-10.67%,-8.38%,5.11%,13.67%,7.72%,夏高,3年又358天,7.72%,6年又37天
华宝沪港深中国增强(LOF)A,501310,1.31亿元（2020-09-30）,0.63%,5.80%,-7.32%,-12.81%,--,-12.68%,周晶,2年又78天,-12.68%,7年又208天
汇添富中证港股通(LOF)C,501306,0.24亿元（2020-09-30）,2.83%,3.74%,-7.34%,-14.01%,-17.78%,-16.46%,赖中立,3年又48天,-16.46%,8年又72天
财通中证香港红利等权指数A,006658,0.19亿元（2020-09-30）,3.79%,5.51%,-6.81%,-13.49%,--,-9.05%,吴迪,1年又169天,-8.59%,4年又265天
易方达中证万得生物科技指数(LOF)A,161122,5.96亿元（2020-12-08）,11.32%,8.51%,12.60%,85.48%,114.55%,52.27%,张湛,38天,11.47%,300天
大成360互联网+大数据100A,002236,0.67亿元（2020-09-30）,-12.48%,-10.59%,-8.14%,5.62%,15.55%,24.10%,夏高,4年又343天,24.10%,6年又37天
华宝港股通恒生香港35,162416,0.39亿元（2020-09-30）,5.67%,15.05%,7.27%,-1.61%,--,1.76%,周晶,143天,9.60%,7年又208天
恒生前海港股通高股息指数,005702,0.33亿元（2020-09-30）,2.71%,8.25%,-5.65%,-14.49%,--,-12.59%,杨伟,1年又191天,-14.56%,4年又161天
信诚中证信息安全指数(LOF),165523,2.29亿元（2020-09-30）,-2.31%,-2.49%,-18.90%,6.82%,13.29%,-38.76%,HAN YILING/黄稚,209天,-0.87%,2年又276天/2年又170天
泰康香港银行指数A,006809,0.29亿元（2020-09-30）,2.75%,17.97%,-6.00%,-13.40%,--,-15.46%,刘伟/黄成扬,1年又270天,-15.46%,3年又252天/5年又45天
国泰恒生港股通指数(LOF),501309,0.09亿元（2020-09-30）,8.15%,15.67%,7.61%,16.46%,--,23.19%,朱丹/吴向军,65天,6.57%,65天/7年又261天
合煦智远金融科技指数(LOF)A,168701,1.35亿元（2020-09-30）,-3.00%,-1.27%,-11.59%,--,--,7.81%,潘天奇,282天,7.81%,282天
申万菱信沪深300价值指数A,310398,8.14亿元（2020-09-30）,1.90%,11.48%,6.52%,10.43%,14.43%,94.07%,龚丽丽,1年又43天,16.13%,5年又85天
民生加银中证港股通指数C,004533,0.11亿元（2020-09-30）,3.70%,8.04%,5.15%,0.39%,-3.21%,-0.04%,武杰/蔡晓,2年又71天,13.09%,2年又71天/5年又8天
鹏华香港银行指数(LOF)A,501025,2.69亿元（2020-09-30）,3.03%,16.40%,-5.59%,-13.24%,-17.18%,-2.76%,张羽翔/聂毅翔,1年又50天,-12.02%,5年又117天/3年又161天
泰康香港银行指数C,006810,0.34亿元（2020-09-30）,2.72%,17.85%,-6.18%,-13.74%,--,-16.03%,刘伟/黄成扬,1年又270天,-16.03%,3年又252天/5年又45天
鹏华中证信息技术指数(LOF),160626,6.41亿元（2020-09-30）,3.16%,5.81%,-3.98%,30.58%,48.36%,143.86%,闫冬,1年又298天,57.52%,1年又298天
信诚中证智能家居指数(LOF),165524,0.42亿元（2020-09-30）,-2.89%,-1.11%,-11.28%,9.47%,12.68%,-37.44%,HAN YILING/黄稚,209天,5.66%,2年又276天/2年又170天
泰康中证港股通非银指数C,006579,0.42亿元（2020-09-30）,5.36%,11.13%,-4.48%,2.49%,--,23.56%,刘伟/黄成扬,2年又21天,23.56%,3年又252天/5年又45天
招商沪深300地产等权重指数,161721,3.90亿元（2020-09-30）,-6.77%,-8.09%,-15.93%,-7.88%,-5.01%,35.40%,刘重杰/苏燕青,152天,-11.72%,2年又251天/3年又363天
泰康港股通TMT指数C,006931,0.12亿元（2020-09-30）,2.33%,4.47%,-9.30%,4.10%,--,1.02%,刘伟/黄成扬,1年又283天,1.02%,3年又252天/5年又45天
安信深圳科技指数(LOF)A,167506,3.28亿元（2020-09-30）,3.72%,7.81%,2.98%,44.00%,--,49.07%,施荣盛/徐黄玮,363天,35.38%,363天/3年又71天
泰康中证港股通非银指数A,006578,0.32亿元（2020-09-30）,5.40%,11.25%,-4.28%,2.89%,--,24.42%,刘伟/黄成扬,2年又21天,24.42%,3年又252天/5年又45天
工银中证京津冀协同发展指数C,164825,0.02亿元（2020-09-30）,0.62%,4.48%,2.43%,9.81%,--,11.08%,刘伟琳/赵栩,2年又269天,11.08%,6年又87天/9年又87天
工银中证京津冀协同发展指数A,164811,0.14亿元（2020-09-30）,0.63%,4.56%,2.56%,10.08%,1.46%,68.26%,赵栩/刘伟琳,4年又114天,23.84%,9年又87天/6年又87天
泰康港股通地产指数C,006817,0.08亿元（2020-09-30）,0.95%,-3.09%,-13.15%,-15.56%,--,-8.66%,刘伟/黄成扬,1年又347天,-8.66%,3年又252天/5年又45天
华宝沪港深中国增强(LOF)C,007397,0.04亿元（2020-09-30）,0.59%,5.69%,-7.50%,-13.15%,--,-12.18%,周晶,1年又239天,-12.18%,7年又208天
太平MSCI香港价值增强A,007107,0.85亿元（2020-09-30）,4.95%,8.95%,-3.27%,-9.22%,--,-8.59%,林开盛,237天,2.78%,3年又247天
鹏华香港银行指数(LOF)C,010365,--亿元（--）,3.02%,--,--,--,--,9.04%,张羽翔/聂毅翔,75天,9.04%,5年又117天/3年又161天
浙商中华预期高股息C,007216,0.04亿元（2020-09-30）,4.16%,8.28%,-3.72%,-8.54%,--,-4.02%,贾腾/查晓磊,26天,4.59%,1年又324天/5年又154天
太平MSCI香港价值增强C,007108,0.00亿元（2020-09-30）,4.91%,8.83%,-3.47%,-9.58%,--,-9.03%,林开盛,237天,2.51%,3年又247天
浙商中华预期高股息A,007178,0.97亿元（2020-09-30）,4.17%,8.38%,-3.55%,-8.23%,--,-3.64%,贾腾/查晓磊,26天,4.60%,1年又324天/5年又154天
方正富邦大湾区综指(LOF),167302,0.20亿元（2020-09-30）,5.09%,14.33%,8.69%,21.43%,--,25.36%,吴昊,1年又107天,25.36%,2年又198天
汇添富中证环境治理指数A,501030,1.56亿元（2020-09-30）,-7.38%,-8.77%,-9.77%,-4.21%,-42.55%,-45.89%,赖中立,4年又13天,-45.89%,8年又72天
嘉实港股通新经济指数C,006614,0.76亿元（2020-09-30）,10.88%,18.15%,15.77%,43.93%,--,49.38%,刘珈吟/陈正宪,1年又362天,49.38%,4年又293天/5年又7天
鹏华国证钢铁行业指数(LOF),502023,2.39亿元（2020-09-30）,3.75%,13.19%,10.06%,19.65%,-14.56%,-3.27%,张羽翔,2年又225天,2.91%,5年又117天
华夏AH经济蓝筹股票A,007505,0.34亿元（2020-09-30）,4.47%,12.27%,6.81%,26.01%,--,33.17%,荣膺,33天,4.47%,5年又67天
